,Título da Notícia,Tema,URL
27,"
Peixe com braço humano foi encontrado em Arapiraca, no Lago “Pirucaba” #boato
",brasil,www.boatos.org/brasil/peixe-braco-humano-arapiraca.html
28,"
Globo News se arrependeu de convidar general Heleno para debate #boato
",brasil,www.boatos.org/brasil/globo-news-arrependeu-general-heleno.html
29,"
Pabllo Vittar leva tombo durante show e “paga mico”, mostra vídeo #boato
",entretenimento,www.boatos.org/entretenimento/pabllo-vittar-tombo-show.html
30,"
Crivella diz que Rio foi castigado com dilúvio por causa do carnaval #boato
",politica,www.boatos.org/politica/crivella-rio-castigado-carnaval.html
31,"
Museu do Holocausto tem placa com sinais do fascismo pendurada na porta #boato
",mundo,www.boatos.org/mundo/museu-holocausto-placa-fascismo.html
32,"
Globo Rural disponibiliza mudas de rosas do deserto grátis em site #boato
",tecnologia,www.boatos.org/tecnologia/globo-rural-rosas-deserto-gratis.html
33,"
7 boatos que surgiram na web após o anúncio da intervenção federal no Rio
",brasil,www.boatos.org/brasil/anuncio-intervencao-federal-rio.html
34,"
Renato Aragão, o Didi, morreu hoje de manhã #boato
",entretenimento,www.boatos.org/entretenimento/renato-aragao-didi-morreu-hoje.html
35,"
Balas Popping Candy distribuídas em escolas são comprimidos de ecstasy #boato
",saude,www.boatos.org/saude/balas-popping-candy-ecstasy.html
36,"
Maria do Rosário diz que traficantes precisam de diálogo e não do Exército com armas #boato
",politica,www.boatos.org/politica/maria-do-rosario-traficantes-dialogo.html
37,"
Policial vive dia de Chuck Norris e mata 10 suspeitos em São Paulo #boato
",brasil,www.boatos.org/brasil/policial-chuck-norris-mata-10.html
38,"
Vigas da Perimetral foram encontradas no sítio da família Picciani em Conservatória #boato
",politica,www.boatos.org/politica/vigas-perimetral-sitio-picciani.html
39,"
Lista dos generais do Exército que vão assumir batalhões da PM é divulgada #boato
",brasil,www.boatos.org/brasil/comandantes-batalhoes-pm-generais.html
40,"
Papa diz que inferno não existe em entrevista a jornal italiano #boato
",religiao,www.boatos.org/religiao/papa-inferno-nao-existe.html
41,"
Inri Cristo morreu: corpo de Álvaro Thais foi encontrado na Colômbia #boato
",religiao,www.boatos.org/religiao/inri-cristo-morreu-corpo-alvaro-thais.html
42,"
Quem trabalhou entre 1998 e 2018 pode ganhar dois salários mínimos; veja lista #boato
",tecnologia,www.boatos.org/tecnologia/trabalhou-1998-2018-dois-salarios.html
43,"
Ricardo Almeida diz que Lula foi o presidente que mais ostentou nos ternos #boato
",politica,www.boatos.org/politica/ricardo-almeida-lula-ostentou-ternos.html
44,"
7 boatos que só serviram para ajudar a divulgar vídeos bizarros na web
",brasil,www.boatos.org/brasil/7-boatos-divulgar-videos-bizarros.html
45,"
Luto! Papa Francisco sofreu uma indisposição e está muito doente #boato
",religiao,www.boatos.org/religiao/luto-papa-francisco-muito-doente.html
46,"
Diretor Mark alerta que Facebook será fechado e pago para quem não compartilhar texto #boato
",tecnologia,www.boatos.org/tecnologia/mark-facebook-fechado-pago-compartilhar.html
47,"
TAP Air Portugal está dando 2 ingressos gratuitos de 75º aniversário #boato
",tecnologia,www.boatos.org/tecnologia/tap-air-portugal-ingressos-gratuitos.html
48,"
CredOnline dá cartão de crédito com limite alto sem consulta ao SPC em site #boato
",tecnologia,www.boatos.org/tecnologia/credonline-cartao-credito-limite-alto.html
49,"
Jornalista diz que atentado a tiros contra ônibus de Lula e PT “foi armação” #boato
",politica,www.boatos.org/politica/jornalista-tiros-onibus-lula-pt-armacao.html
50,"
Marcelo Freixo posa para foto com traficantes aliados #boato
",politica,www.boatos.org/politica/marcelo-freixo-foto-traficantes.html
51,"
Médico alerta para bactéria de conjuntivite viral nível 3 sem tratamento #boato
",saude,www.boatos.org/saude/medico-bacteria-conjuntivite-viral.html
52,"
Janaína Paschoal diz que Lula já pode ser preso e põe STF em cheque #boato
",politica,www.boatos.org/politica/janaina-paschoal-lula-preso-stf.html
53,"
Foto mostra Lula com o rosto sujo após ser atingido por ovos em comício #boato
",politica,www.boatos.org/politica/foto-lula-rosto-sujo-ovos.html
54,"
Foto mostra flor do Panamá (flor do Espírito Santo) que só floresce em Pentecostes #boato
",brasil,www.boatos.org/brasil/panama-flor-espirito-santo-pentecostes.html
55,"
Homem é condenado à morte 15 minutos após estuprar menina em Dubai #boato
",mundo,www.boatos.org/mundo/condenado-morte-estuprar-dubai.html
56,"
Katy Perry faz lista de 20 motivos para odiar o Brasil e brasileiros #boato
",entretenimento,www.boatos.org/entretenimento/katy-perry-20-motivos-odiar-brasil.html
57,"
D’Alessandro pagou funeral da menina Naiara, morta em Caxias do Sul #boato
",esporte,www.boatos.org/esporte/dalessandro-funeral-menina-naiara.html
58,"
Vídeo mostra clima em Brasília após protesto influenciado por povo gaúcho #boato
",politica,www.boatos.org/politica/video-brasilia-protesto-gaucho.html
59,"
Roberto Carlos aparece de bermuda e mostra perna mecânica em foto #boato
",entretenimento,www.boatos.org/entretenimento/roberto-carlos-bermuda-perna-mecanica.html
60,"
Médico diz que vacina da gripe está causando um surto mortal de gripe #boato
",saude,www.boatos.org/saude/medico-vacina-surto-mortal-gripe.html
61,"
Máquina separa bolinhas por cores por causa da física quântica #boato
",ciencia,www.boatos.org/ciencia/maquina-bolinhas-fisica-quantica.html
62,"
Mataram Dinho Kapp, o Papa Capim, a tiros, mostram fotos #boato
",entretenimento,www.boatos.org/entretenimento/mataram-papa-capim-tiros.html
63,"
Vídeo mostra encontro de Oceano Pacífico e Oceano Atlântico, que não se misturam #boato
",mundo,www.boatos.org/mundo/encontro-oceano-pacifico-atlantico.html
64,"
Tribunal de Haia acaba de reconhecer Lula como preso político #boato
",politica,www.boatos.org/politica/tribunal-de-haia-lula-preso-politico.html
65,"
7 golpes disfarçados de promoções do O Boticário que viralizam no WhatsApp
",entretenimento,www.boatos.org/entretenimento/7-golpes-promocoes-boticario.html
66,"
Ladrões são atacados por marimbondos após roubo à mão armada #boato
",brasil,www.boatos.org/brasil/ladroes-atacados-marimbondos.html
67,"
Brigadeiro suspende voos de Gilmar Mendes em aviões da FAB #boato
",politica,www.boatos.org/politica/brigadeiro-voos-gilmar-mendes-fab.html
68,"
Chá de folhas de graviola cura câncer, afirma médico oncologista #boato
",saude,www.boatos.org/saude/cha-graviola-cura-cancer-oncologista.html
69,"
Garoto atira e mata outra criança em bicicleta, mostra vídeo #boato
",brasil,www.boatos.org/brasil/garoto-atira-mata-crianca.html
70,"
O Boticário está dando Kit Dia das Mães grátis para quem compartilhar link #boato
",tecnologia,www.boatos.org/tecnologia/boticario-kit-dia-das-maes-gratis.html
71,"
Lobisomem ataca na região Norte do Paraná e é flagrado #boato
",brasil,www.boatos.org/brasil/lobisomem-ataca-norte-parana.html
72,"
Saiu o mandado de prisão de Jair Bolsonaro por crime de racismo #boato
",politica,www.boatos.org/politica/mandado-prisao-jair-bolsonaro-racismo.html
73,"
Bandido ganha R$ 4 mil de auxílio-reclusão e comete assalto, mostra vídeo #boato
",brasil,www.boatos.org/brasil/bandido-auxilio-reclusao-assalto.html
74,"
Quem já recebeu Bolsa Família e tem o cartão pode ganhar R$ 954 neste mês #boato
",tecnologia,www.boatos.org/tecnologia/bolsa-familia-cartao-ganhar-r-954.html
75,"
Esqueleto do gigante Golias é encontrado em Jerusalém #boato
",religiao,www.boatos.org/religiao/esqueleto-gigante-golias-jerusalem.html
76,"
Ponto vernal é mostrado em fotos da fronteira China/Tibet a 5.580 metros #boato
",mundo,www.boatos.org/mundo/ponto-vernal-fronteira-china-tibet.html
77,"
Emirates coloca desenho de Lula preso na parte frontal de avião #boato
",politica,www.boatos.org/politica/emirates-lula-preso-aviao.html
78,"
MST incendeia torre de internet rural, mostra vídeo #boato
",politica,www.boatos.org/politica/mst-incendeia-torre-internet-rural.html
79,"
Chaves pode deixar de ser exibido no Brasil por causa de bullying #boato
",entretenimento,www.boatos.org/entretenimento/chaves-deixar-exibido-bullying.html
80,"
Caminhoneiros farão nova paralisação no domingo, avisam líderes da greve #boato
",brasil,www.boatos.org/brasil/caminhoneiros-nova-paralisacao-lideres.html
81,"
Avião de luxo da seleção brasileira foi pago com dinheiro público #boato
",esporte,www.boatos.org/esporte/aviao-selecao-brasileira-dinheiro-publico.html
82,"
Arnaldo Jabor escreve texto “Militar é incompetente demais! Militares nunca mais” #boato
",politica,www.boatos.org/politica/arnaldo-jabor-militar-incompetente.html
83,"
Juízes e desembargadores do TJDFT recebem auxílio-moradia de R$ 437 mil #boato
",politica,www.boatos.org/politica/juizes-tjdft-auxilio-moradia.html
84,"
General Villas Bôas anuncia intervenção militar e convoca povo do Brasil #boato
",politica,www.boatos.org/politica/villas-boas-intervencao-convoca-povo.html
85,"
Caminhoneiro é morto por tiro de bala de borracha da PRF na BR-101 (Bahia) #boato
",brasil,www.boatos.org/brasil/caminhoneiro-morto-bala-borracha-prf.html
86,"
Vídeo mostra assalto a motoristas durante arrastão em Campinas (SP) #boato
",brasil,www.boatos.org/brasil/video-motoristas-arrastao-campinas.html
87,"
Carlos Marun dança e debocha dos caminhoneiros após fim da greve #boato
",politica,www.boatos.org/politica/carlos-marun-danca-debocha-caminhoneiros.html
88,"
Criança morre após comer ovo de cobra achando que era ovo de codorna #boato
",brasil,www.boatos.org/brasil/crianca-morre-ovo-cobra.html
89,"
Polícia Federal está atirando nos caminhoneiros durante greve de 2018, mostra vídeo #boato
",brasil,www.boatos.org/brasil/policia-federal-atirando-caminhoneiros-greve.html
90,"
Emílio Dalçóquio diz que greve é para o povo e não para os caminhoneiros em vídeo #boato
",brasil,www.boatos.org/brasil/emilio-dalcoquio-video-greve-povo.html
91,"
Temer, a pedido de Rodrigo Maia, decreta estado de sítio por causa de greve #boato
",politica,www.boatos.org/politica/temer-rodrigo-maia-estado-sitio.html
92,"
Governo determinou a paralisação do WhatsApp hoje por causa da greve #boato
",tecnologia,www.boatos.org/tecnologia/governo-paralisacao-whatsapp-hoje.html
93,"
Lulu Santos escreve carta ao Diário de São Paulo sobre o INSS e deputados #boato
",entretenimento,www.boatos.org/entretenimento/lulu-santos-carta-ao-diario-inss.html
94,"
Houve arrastão em Bangu (RJ) e saques nos supermercados Guanabara e Assaí #boato
",brasil,www.boatos.org/brasil/arrastao-bangu-guanabara-assai.html
95,"
Helicóptero da PRF toca Hino Nacional para caminhoneiros durante greve em SC #boato
",brasil,www.boatos.org/brasil/helicoptero-hino-caminhoneiros-greve.html
96,"
Ministro Carlos Marun grava áudio falando que Temer vai cair #boato
",politica,www.boatos.org/politica/carlos-marun-audio-temer-cair.html
97,"
Lista de fake news que estão circulando na web por causa da greve dos caminhoneiros (7 + bônus)
",brasil,www.boatos.org/brasil/fake-news-greve-caminhoneiros.html
98,"
Greve geral no Brasil será realizada no dia 28/05, segunda-feira #boato
",politica,www.boatos.org/politica/greve-geral-brasil-28-05.html
99,"
Deputado Edinho Bez gravou áudio sobre greve e renúncia de Temer #boato
",politica,www.boatos.org/politica/edinho-bez-audio-greve-renuncia.html
100,"
Bandeira do Brasil foi formada pela natureza no Rio Amazonas, mostra foto #boato
",brasil,www.boatos.org/brasil/bandeira-brasil-rio-amazonas.html
101,"
WhatsApp oferece recarga gratuita em comemoração ao 9º aniversário #boato
",tecnologia,www.boatos.org/tecnologia/whatsapp-recarga-gratuita-9o-aniversario.html
102,"
Brasileiro apanha ao tentar gravar vídeo zombando de mulher na Rússia #boato
",esporte,www.boatos.org/esporte/brasileiro-apanha-zombando-russia.html
103,"
Papa Francisco diz que “a sua vida é a maior empresa do mundo” em homilia ontem #boato
",religiao,www.boatos.org/religiao/papa-francisco-vida-empresa-mundo.html
104,"
Marcelo, jogador da seleção, se cagou e alegou lesão durante jogo da Copa #boato
",esporte,www.boatos.org/esporte/marcelo-selecao-se-cagou-copa.html
105,"
Fundação Bradesco está recebendo currículo para vaga de professor por e-mail #boato
",brasil,www.boatos.org/brasil/fundacao-bradesco-curriculo-e-mail.html
106,"
Exercício com a língua ajuda a prevenir o Alzheimer, cura asma e regula pressão #boato
",saude,www.boatos.org/saude/lingua-prevenir-alzheimer-asma.html
107,"
Pontos pretos nas batatas são substâncias cancerígenas #boato
",saude,www.boatos.org/saude/pontos-pretos-batatas-cancerigenas.html
108,"
Bebê que nasceu com dois pênis ganhará R$ 1 por foto no WhatsApp #boato
",tecnologia,www.boatos.org/tecnologia/bebe-dois-penis-r-1-whatsapp.html
109,"
Salgadinho Cheetos é feito de plástico porque pega fogo facilmente #boato
",saude,www.boatos.org/saude/salgadinho-cheetos-plastico-fogo.html
110,"
Chineses usam maquinário para fazer estrada de ferro no Brasil, mostra vídeo #boato
",brasil,www.boatos.org/brasil/chineses-maquinario-estrada-ferro-brasil.html
111,"
Torcedora argentina apanha de polícia russa em Moscou, mostra vídeo #boato
",esporte,www.boatos.org/esporte/torcedora-argentina-policia-russa-moscou.html
112,"
Princesa Qajar (Qajair) da Pérsia era símbolo de beleza e fez 13 pretendentes (de 145) se matarem #boato
",mundo,www.boatos.org/mundo/princesa-qajar-qajair-beleza.html
113,"
Bebê com rosto cortado vai ganhar R$ 1 por foto compartilhada no WhatsApp #boato
",tecnologia,www.boatos.org/tecnologia/bebe-rosto-cortado-foto-whatsapp.html
114,"
Dona de centro de magia negra é presa por sacrificar crianças em rituais #boato
",religiao,www.boatos.org/religiao/centro-magia-negra-sacrificar-criancas.html
115,"
Ovos de plástico da China chegaram ao Brasil, mostra vídeo #boato
",saude,www.boatos.org/saude/ovos-plastico-china-chegaram-brasil.html
116,"
Não atualize para o WhatsApp Gold e não veja o vídeo Martinelli; são vírus #boato
",tecnologia,www.boatos.org/tecnologia/whatsapp-gold-video-martinelli-virus.html
117,"
Cachorro arranca pênis de pedófilo durante estupro nos EUA #boato
",mundo,www.boatos.org/mundo/cachorro-arranca-penis-pedofilo-eua.html
118,"
Novo supermercado drive-thru será inaugurado em Dubai em 2019, mostra vídeo #boato
",tecnologia,www.boatos.org/tecnologia/supermercado-drive-thru-dubai.html
119,"
Homem contrata garota de programa e descobre que ela é sua esposa #boato
",brasil,www.boatos.org/brasil/homem-garota-programa-esposa.html
120,"
WhatsApp sinaliza mensagem como encaminhada para poder punir usuários #boato
",tecnologia,www.boatos.org/tecnologia/whatsapp-mensagem-encaminhada-punir.html
121,"
Padre pedófilo com HIV que estuprou 30 crianças é perdoado pela Igreja Católica #boato
",religiao,www.boatos.org/religiao/padre-pedofilo-perdoado-igreja-catolica.html
122,"
CredFácil está dando cartão de crédito sem consulta ao SPC e Serasa em site #boato
",tecnologia,www.boatos.org/tecnologia/credfacil-cartao-credito-spc-serasa.html
123,"
Família Sarney fraudou Mega-Sena para ganhar prêmio acumulado #boato
",brasil,www.boatos.org/brasil/familia-sarney-fraudou-mega-sena.html
124,"
Cantor diz que Jesus é gay e travesti durante Festival Lula Livre #boato
",entretenimento,www.boatos.org/entretenimento/jesus-travesti-festival-lula.html
125,"
Flamengo foi rebaixado no Brasileirão de 1995, mas CBF fez manobra #boato
",esporte,www.boatos.org/esporte/flamengo-rebaixado-cbf-manobra.html
126,"
Foto mostra exposição “O cu é lindo” no Instituto Goethe, em Salvador #boato
",entretenimento,www.boatos.org/entretenimento/exposicao-cu-lindo-salvador.html
127,"
Limão combate e mata as células do câncer, diz médico oncologista #boato
",saude,www.boatos.org/saude/limao-mata-cancer-medico.html
128,"
Repassem vídeo de mulher espancando bebês para que ela seja presa #boato
",brasil,www.boatos.org/brasil/repassem-video-mulher-espancando-bebes.html
129,"
Imigrantes destroem viatura porque desarmaram a polícia da França #boato
",mundo,www.boatos.org/mundo/imigrantes-viatura-policia-franca.html
130,"
Nova pesquisa mostra que Bolsonaro vence Lula em todos os estados #boato
",politica,www.boatos.org/politica/pesquisa-bolsonaro-vence-lula-estados.html
131,"
Mulher atira em outra após discussão em festa na piscina #boato
",mundo,www.boatos.org/mundo/mulher-atira-outra-discussao-piscina.html
132,"
STJ acaba de deferir habeas corpus ao ex-presidente Lula; veja decisão #boato
",politica,www.boatos.org/politica/stj-deferir-habeas-corpus-lula.html
133,"
Bebê-porco: imagens flagram filhote de porca com rosto humano #boato
",mundo,www.boatos.org/mundo/bebe-porco-filhote-porca-humano.html
134,"
Açaí é ensacado sem higiene e homens o amassam com os pés, mostra vídeo #boato
",saude,www.boatos.org/saude/acai-ensacado-higiene-moido-pes.html
135,"
Mulher tenta fazer desafio de dançar fora do carro e é atropelada #boato
",tecnologia,www.boatos.org/tecnologia/mulher-desafio-dancar-atropelada.html
136,"
Inglaterra remove menções ao Holocausto no currículo das escolas do país #boato
",mundo,www.boatos.org/mundo/inglaterra-remove-holocausto-curriculo.html
137,"
Marte vai ficar do tamanho da Lua cheia por causa de fenômeno #boato
",brasil,www.boatos.org/brasil/marte-tamanho-lua-cheia.html
138,"
Movimento da crosta terrestre na Mongólia é flagrado em vídeo #boato
",ciencia,www.boatos.org/ciencia/movimento-crosta-terrestre-mongolia.html
139,"
Corante da Fanta Laranja é absorvido por guardanapo de papel em vídeo #boato
",ciencia,www.boatos.org/ciencia/corante-fanta-laranja-guardanapo-papel.html
140,"
Uso de telefone celular no escuro causa maculopatia (câncer de olho) #boato
",saude,www.boatos.org/saude/celular-escuro-maculopatia-cancer-olho.html
141,"
Planserv foi extinta pelo governo da Bahia e vendida à Qualicorp #boato
",politica,www.boatos.org/politica/planserv-bahia-vendida-qualicorp.html
142,"
Bandidos roubam bagageiro de ônibus em movimento no Rio de Janeiro #boato
",brasil,www.boatos.org/brasil/bandidos-roubam-onibus-rio.html
143,"
McDonald’s está dando cupons gratuitos para 2 combos de 78º aniversário #boato
",tecnologia,www.boatos.org/tecnologia/mcdonalds-cupons-gratuitos-2-combos.html
144,"
Arábia Saudita decapitou a ativista de direitos das mulheres Esra Al Ghamgam #boato
",mundo,www.boatos.org/mundo/arabia-saudita-decapitou-esra-al-ghamgam.html
145,"
Venezuelanos vão receber Bolsa Imigrante de R$ 1500 do governo brasileiro #boato
",brasil,www.boatos.org/brasil/venezuelanos-bolsa-imigrante-governo.html
146,"
Livro Aparelho Sexual e Cia faz parte do kit gay distribuído pelo MEC em escolas #boato
",politica,www.boatos.org/politica/livro-aparelho-sexual-e-cia-kit-gay.html
147,"
Caixa libera o saque do FGTS para quem trabalhou entre 2005 e 2018 #boato
",tecnologia,www.boatos.org/tecnologia/caixa-fgts-trabalhou-2005-2018.html
148,"
Capa do kit gay de Haddad, com imagens chocantes, vaza na internet #boato
",politica,www.boatos.org/politica/capa-kit-gay-haddad-vaza-internet.html
149,"
Bolsonaro disse que não precisa do voto de negros, homossexuais, mulheres e pobres #boato
",politica,www.boatos.org/politica/bolsonaro-nao-voto-negros-gays-mulheres.html
150,"
Exército matou dezenas de bandidos no Rio de Janeiro, mostram fotos #boato
",brasil,www.boatos.org/brasil/exercito-matou-dezenas-bandidos-rio.html
151,"
Júnior Cigano bate em vários homens durante briga em bar, mostra vídeo #boato
",esporte,www.boatos.org/esporte/junior-cigano-briga-bar.html
152,"
Venezuelanos estão recebendo título de eleitor para votar no Brasil #boato
",politica,www.boatos.org/politica/venezuelanos-titulo-eleitor-votar.html
153,"
Durante vídeo de Geraldo Alckmin, mulher grita eu voto é no Lula #boato
",politica,www.boatos.org/politica/video-alckmin-mulher-voto-lula.html
154,"
João Amoêdo diz que é a favor do aborto e da descriminalização das drogas #boato
",politica,www.boatos.org/politica/joao-amoedo-aborto-drogas.html
155,"
Filho de Lula (Lulinha) é dono de um avião de US$ 50 milhões #boato
",politica,www.boatos.org/politica/aviao-filho-lula-lulinha-50-mi.html
156,"
Foto mostra Marina Silva invadindo fazenda com o MST em 1986 #boato
",politica,www.boatos.org/politica/marina-silva-invadindo-fazenda-mst.html
157,"
PRF instala radar com limite de 40 km/h em postos e aplica multas #boato
",brasil,www.boatos.org/brasil/prf-instala-radar-multas.html
158,"
Furacão se forma na costa sul do Brasil e pode atingir RS e SC #boato
",brasil,www.boatos.org/brasil/furacao-costa-sul-rs-sc.html
159,"
Ex-senador Clésio de Andrade é o dono do Instituto Ibope #boato
",politica,www.boatos.org/politica/ex-senador-clesio-dono-ibope.html
160,"
Paraná Pesquisas mostra que Bolsonaro vence eleições no 1º turno em todos estados #boato
",politica,www.boatos.org/politica/parana-pesquisas-bolsonaro-1o-turno.html
161,"
Flávio Bolsonaro diz que pai pode tirar a vida de um filho gay #boato
",politica,www.boatos.org/politica/flavio-bolsonaro-pai-filho-gay.html
162,"
Daniela Mercury é vaiada em show após campanha #Elenão contra Bolsonaro #boato
",entretenimento,www.boatos.org/entretenimento/daniela-mercury-vaiada-elenao-bolsonaro.html
163,"
Mamadeira do kit gay é distribuída em creches pelo PT, mostra vídeo #boato
",politica,www.boatos.org/politica/mamadeira-kit-gay-distribuida-em-creches.html
164,"
Torcidas de Flamengo e Corinthians gritam Bolsonaro e Globo tenta abafar #boato
",esporte,www.boatos.org/esporte/torcidas-flamengo-corinthians-bolsonaro.html
165,"
Rodrigo Santoro apoia Bolsonaro e posa com camiseta de apoio a candidato #boato
",entretenimento,www.boatos.org/entretenimento/rodrigo-santoro-camiseta-bolsonaro.html
166,"
Jean Wyllys quer criar lei que obriga padres e pastores a casar gays #boato
",politica,www.boatos.org/politica/jean-wyllys-lei-padres-pastores-gays.html
167,"
Esquerda vai colocar black blocs com camisas do Bolsonaro para agredir mulheres #boato
",politica,www.boatos.org/politica/esquerda-black-blocs-agredir-mulheres.html
168,"
TV Globo vai entrevistar Adélio Bispo, homem que esfaqueou Bolsonaro #boato
",politica,www.boatos.org/politica/tv-globo-entrevistar-adelio-bispo.html
169,"
Alto comando do Exército fará perícia nas urnas eletrônicas nas eleições #boato
",politica,www.boatos.org/politica/exercito-pericia-nas-urnas-eletronicas.html
170,"
Paulo Ramos, do PSOL, oferece dinheiro para professoras falarem mal de Bolsonaro #boato
",politica,www.boatos.org/politica/paulo-ramos-professoras-bolsonaro.html
171,"
Bruxos e satanistas estão se reunindo e sequestrando crianças para rituais #boato
",religiao,www.boatos.org/religiao/bruxos-satanistas-sequestrando-criancas.html
172,"
Avião rodopia no ar durante o tufão Mangkhut nas Filipinas #boato
",mundo,www.boatos.org/mundo/aviao-rodopia-tufao-mangkhut.html
173,"
Gerardo de Icaza, da OEA, denuncia fraude nas urnas eletrônicas no Brasil #boato
",politica,www.boatos.org/politica/gerardo-de-icaza-urnas-eletronicas.html
174,"
Christian Lohbauer, vice de João Amoêdo, declara voto em Bolsonaro #boato
",politica,www.boatos.org/politica/christian-lohbauer-amoedo-bolsonaro.html
175,"
Confisco da poupança será colocado em prática se esquerda ganhar eleições #boato
",politica,www.boatos.org/politica/confisco-poupanca-esquerda-eleicoes.html
176,"
Sandy apoia Bolsonaro e diz que concorda com candidato do PSL #boato
",entretenimento,www.boatos.org/entretenimento/sandy-apoia-bolsonaro-boato.html
177,"
Alexandre Frota vai ser ministro da Educação de Bolsonaro #boato
",entretenimento,www.boatos.org/entretenimento/frota-ministro-educacao-bolsonaro.html
178,"
Flávio Bolsonaro diz que garçom morto pela polícia correu risco por usar guarda-chuva #boato
",politica,www.boatos.org/politica/flavio-bolsonaro-garcom-guarda-chuva.html
179,"
Manuela D’Ávila ligou 6 vezes para Adélio no dia do ataque contra Bolsonaro #boato
",politica,www.boatos.org/politica/manuela-ligou-adelio-bolsonaro.html
180,"
Esquadrão da Moda está dando maleta da Vult por causa de aniversário #boato
",tecnologia,www.boatos.org/tecnologia/esquadrao-moda-maleta-vult.html
181,"
Bolsonaro pode perder o mandato e ser cassado antes de ser presidente #boato
",politica,www.boatos.org/politica/bolsonaro-mandato-cassado-presidente.html
182,"
Mara Graça é uma hacker no Facebook! Não aceite solicitação de amizade #boato
",tecnologia,www.boatos.org/tecnologia/mara-graca-hacker-facebook.html
183,"
Juíza Daniele Moura (Emerj) escreve carta para Dias Toffoli (STF) #boato
",politica,www.boatos.org/politica/juiza-daniele-moura-emerj-carta.html
